
Słowa        Liczba wystąpień

albo             1
by               1
c                3
celem            1
ci               1
cierpisz         1
co               1
czyni            1
czynisz          1
dziami           1
eli              4
i                1
je               4
jednakowo        1
ju               1
k                1
kiedy            1
kr               1
kt               1
marz             1
marzeniom        1
na               1
naiwnych         1
narz             1
nie              2
o                1
oba              1
odbudow          1
pokornie         1
pora             1
przyj            1
rozumowania      1
rozumuj          1
ruin             1
rych             1
s                1
sukces           1
tacze            1
te               1
tego             1
traktuj          1
tre              1
twego            1
twoich           1
udzenia          1
ulegasz          1
umiesz           1
w                1
wypaczenie       1
ycia             1
ytymi            1
z                2
zaakceptujesz    1
zaczniesz        1
zasadzk          1
zu               1
